Row,No Extraction,No Annotation,Wrong Range,Wrong Tag,Wrong Range and tag,Num correct tags,Sentence
863,[],[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['920']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['66']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['thôn', 'Mỹ', 'Phước']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['xã', 'Đại', 'Phong']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['huyện', 'Đại', 'Lộc']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['tỉnh', 'Quảng', 'Nam'])]","['""', 'Bệnh', 'nhân', '920', '""', ',', 'nam', '66', 'tuổi', ',', 'trú', 'thôn', 'Mỹ', 'Phước', ',', 'xã', 'Đại', 'Phong', ',', 'huyện', 'Đại', 'Lộc', ',', 'tỉnh', 'Quảng', 'Nam', '.']"
864,[],[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['618']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Hải', 'Châu', '2']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['quận', 'Hải', 'Châu']), (['B-DATE'], ['B-DATE'], ['23']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['26', '-', '7']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', 'Đà', 'Nẵng']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['viêm', 'đường', 'tiết', 'niệu'])]","['Bệnh', 'nhân', '618', '(', 'phường', 'Hải', 'Châu', '2', ',', 'quận', 'Hải', 'Châu', ')', ':', 'Từ', 'ngày', '23', 'đến', '26', '-', '7', ',', 'bệnh', 'nhân', 'nhập', 'viện', 'tại', 'Bệnh', 'viện', 'Đà', 'Nẵng', 'với', 'chẩn', 'đoán', 'viêm', 'đường', 'tiết', 'niệu', '.']"
865,"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['O', 'O', 'O', 'O', 'O'], ['Bệnh', 'viện', 'Phạm', 'Ngọc', 'Thạch'])]",[],[],[],[],"[(['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['TP.', 'HCM'])]","['Bệnh', 'viện', 'Phạm', 'Ngọc', 'Thạch', '(', 'TP.', 'HCM', ')', 'thực', 'hiện', 'khai', 'báo', ',', 'sàng', 'lọc', 'bệnh', 'nhân', 'nghi', 'ngờ', 'nhiễm', 'COVID', '-', '19', 'khi', 'bệnh', 'nhân', 'đến', 'khám', 'và', 'điều', 'trị', 'tại', 'đây', '.']"
866,[],[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['1.036']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['52']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hoà', 'An']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Cẩm', 'Lệ']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đà', 'Nẵng'])]","['Ca', 'bệnh', '1.036', 'là', 'nam', 'giới', '52', 'tuổi', ',', 'ở', 'Hoà', 'An', ',', 'Cẩm', 'Lệ', ',', 'Đà', 'Nẵng', '.']"
867,"[(['B-JOB', 'I-JOB', 'I-JOB', 'I-JOB'], ['O', 'O', 'O', 'O'], ['Nhân', 'viên', 'y', 'tế'])]",[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['465'])]","['Nhân', 'viên', 'y', 'tế', 'khỏi', 'bệnh', ',', '""', 'bệnh', 'nhân', '465', '""', 'cho', 'biết', 'sau', 'khi', 'thực', 'hiện', 'cách', 'ly', '14', 'ngày', 'tiếp', 'theo', ',', 'cô', 'sẽ', 'quay', 'lại', 'bệnh', 'viện', 'tiếp', 'tục', 'với', 'công', 'việc', 'thường', 'nhật', '.']"
868,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'O', 'O'], ['cảm', 'lạnh', 'thông', 'thường']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O'], ['dị', 'ứng']), (['B-SYMPTOM_AND_DISEASE'], ['O'], ['cúm'])]",[],[],[],[],"[(['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['sốt']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['ho', 'khan']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['khó', 'thở'])]","['Có', 'thể', 'phân', 'biệt', 'COVID', '-', '19', 'với', 'bệnh', 'cảm', 'lạnh', 'thông', 'thường', ',', 'dị', 'ứng', 'và', 'cúm', 'qua', '3', 'triệu', 'chứng', 'biểu', 'hiện', 'phổ', 'biến', 'và', 'rõ', 'ràng', 'nhất', 'là', 'sốt', ',', 'ho', 'khan', 'và', 'khó', 'thở', '.']"
869,[],[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', '199', 'Đà', 'Nẵng']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bộ', 'Công', 'an'])]","['Bệnh', 'nhân', 'mắc', 'các', 'bệnh', 'mãn', 'tính', 'và', 'các', 'bệnh', 'khác', 'sẽ', 'được', 'chuyển', 'sang', 'Bệnh', 'viện', '199', 'Đà', 'Nẵng', '(', 'Bộ', 'Công', 'an', ')', 'và', 'một', 'số', 'bệnh', 'viện', 'dự', 'phòng', 'khác', '.']"
870,"[(['B-PATIENT_ID'], ['O'], ['712'])]",[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['UBND', 'Hà', 'Nội']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đà', 'Nẵng']), (['B-DATE'], ['B-DATE'], ['25/7']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hà', 'Nội']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bộ', 'Y', 'tế']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hải', 'Dương']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hà', 'Nội'])]","['Chủ', 'tịch', 'UBND', 'Hà', 'Nội', 'Nguyễn', 'Đức', 'Chung', 'cho', 'biết', ',', 'giai', 'đoạn', '3', '(', 'tính', 'từ', 'khi', 'phát', 'hiện', 'ca', 'bệnh', 'tại', 'Đà', 'Nẵng', 'ngày', '25/7', ')', 'Hà', 'Nội', 'ghi', 'nhận', 'bảy', 'ca', 'bệnh', ',', 'gồm', 'cả', 'ca', '712', 'Bộ', 'Y', 'tế', 'công', 'bố', 'ở', 'Hải', 'Dương', ',', 'nhưng', 'có', 'lịch', 'sử', 'dịch', 'tễ', 'chủ', 'yếu', 'ở', 'Hà', 'Nội', '.']"
871,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O'], ['lơ', 'mơ'])]",[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['thể', 'trạng', 'suy', 'kiệt']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'O', 'O', 'O', 'O'], ['loét', 'vùng', 'cẳng', 'tay', 'và', 'cẳng', 'bàn', 'chân']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'O', 'O', 'O'], ['xuất', 'huyết', 'dưới', 'da', 'cẳng', 'tay', 'hai', 'bên'])]",[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['3', '-', '8']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['khó', 'thở', 'nhẹ'])]","['Ngày', '3', '-', '8', ',', 'bệnh', 'nhân', 'lơ', 'mơ', ',', 'thể', 'trạng', 'suy', 'kiệt', ',', 'loét', 'vùng', 'cẳng', 'tay', 'và', 'cẳng', 'bàn', 'chân', ',', 'xuất', 'huyết', 'dưới', 'da', 'cẳng', 'tay', 'hai', 'bên', ',', 'khó', 'thở', 'nhẹ', '.']"
872,[],[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['chợ', 'hải', 'sản', 'Hoa', 'Nam'])]","['Tuy', 'nhiên', ',', 'bệnh', 'nhân', 'không', 'tới', 'chợ', 'hải', 'sản', 'Hoa', 'Nam', 'và', 'cũng', 'không', 'tiếp', 'xúc', 'với', 'bất', 'kỳ', 'người', 'nào', 'nhiễm', 'nCoV', '.']"
873,"[(['B-SYMPTOM_AND_DISEASE'], ['O'], ['lao']), (['B-SYMPTOM_AND_DISEASE'], ['O'], ['sởi'])]",[],[],[],[],[],"['Lịch', 'sử', 'y', 'khoa', 'từng', 'ghi', 'nhận', 'nhiều', 'câu', 'chuyện', 'về', 'siêu', 'lây', 'nhiễm', 'trong', 'các', 'đợt', 'bùng', 'phát', 'dịch', 'lao', ',', 'sởi', 'và', 'nhiều', 'bệnh', 'khác', '.']"
874,[],[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bộ', 'Y', 'tế']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', 'Phổi', 'Bình', 'Thuân']), (['B-DATE'], ['B-DATE'], ['15/3'])]","['Thứ', 'trưởng', 'Bộ', 'Y', 'tế', 'Nguyễn', 'Trường', 'Sơn', '(', 'áo', 'trắng', 'đầu', 'bạc', ',', 'giữa', ')', 'cùng', 'các', 'bác', 'sĩ', 'thị', 'sát', 'Bệnh', 'viện', 'Phổi', 'Bình', 'Thuân', ',', 'nơi', 'cách', 'ly', 'những', 'người', 'tiếp', 'xúc', 'gần', '9', 'bệnh', 'nhân', 'Covid', '-', '19', ',', 'ngày', '15/3', '.']"
875,[],[],"[(['B-PATIENT_ID', 'I-PATIENT_ID'], ['O', 'B-PATIENT_ID'], ['BN', '324'])]",[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['324']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['18']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['quận', 'Tân', 'Bình']), (['B-LOCATION'], ['B-LOCATION'], ['TP.HCM.']), (['B-JOB', 'I-JOB', 'I-JOB'], ['B-JOB', 'I-JOB', 'I-JOB'], ['du', 'học', 'sinh']), (['B-LOCATION'], ['B-LOCATION'], ['Mỹ']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['16', '-', '5']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['VN001'])]","['CA', 'BỆNH', '324', '(', 'BN', '324', ')', ':', 'Bệnh', 'nhân', 'nam', ',', '18', 'tuổi', ',', 'địa', 'chỉ', 'ở', 'quận', 'Tân', 'Bình', ',', 'TP.HCM.', 'Bệnh', 'nhân', 'là', 'du', 'học', 'sinh', 'Mỹ', 'về', 'nước', 'ngày', '16', '-', '5', 'trên', 'chuyến', 'bay', 'VN001', ',', 'số', 'ghế', '27K', '.']"
876,"[(['B-JOB', 'I-JOB'], ['O', 'O'], ['phi', 'công']), (['B-LOCATION'], ['O'], ['Anh'])]",[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['11', '-', '7']), (['B-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION'], ['CDC', 'Mỹ']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', 'Chợ', 'Rẫy']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['91'])]","['Tối', '11', '-', '7', ',', 'ngay', 'trước', 'khi', 'bệnh', 'nhân', 'phi', 'công', 'Anh', 'lên', 'máy', 'bay', 'về', 'nước', ',', 'đại', 'diện', 'của', 'CDC', 'Mỹ', ',', 'bác', 'sĩ', 'Drew', 'Posey', 'đã', 'gửi', 'thư', 'điện', 'tử', '(', 'email', ')', 'đến', 'Bệnh', 'viện', 'Chợ', 'Rẫy', 'để', 'chúc', 'mừng', 'bệnh', 'viện', 'điều', 'trị', 'thành', 'công', 'cho', 'bệnh', 'nhân', '91', '.']"
877,"[(['B-NAME', 'I-NAME', 'I-NAME'], ['O', 'O', 'O'], ['Vũ', 'Khắc', 'Tiệp'])]",[],[],[],[],"[(['B-NAME'], ['B-NAME'], ['N.H.N.']), (['B-LOCATION'], ['B-LOCATION'], ['Milan']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['17']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Việt', 'Nam'])]","['Trước', 'thông', 'tin', 'đang', 'được', 'dư', 'luận', 'quan', 'tâm', 'là', 'liệu', 'Vũ', 'Khắc', 'Tiệp', 'có', 'tiếp', 'xúc', 'với', 'hai', 'chị', 'em', 'N.H.N.', '(', 'tức', '2', 'bệnh', 'nhân', 'người', 'Việt', 'từng', 'tham', 'gia', 'Tuần', 'lễ', 'thời', 'trang', 'Milan', ',', 'trong', 'đó', 'có', 'bệnh', 'nhân', 'số', '17', 'đang', 'sống', 'ở', 'Việt', 'Nam', ')', ',', 'ông', 'bầu', 'trả', 'lời', 'là', 'không', 'tham', 'dự', 'buổi', 'biểu', 'diễn', 'có', 'mặt', '2', 'chị', 'em', 'này', '.']"
878,[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Ban', 'quản', 'lý', 'Khu', 'di', 'tích', 'lịch', 'ngã', 'ba', 'Đồng', 'Lộc'])]",[],"[(['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hà', 'Tĩnh']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['736'])]","['Nhà', 'chức', 'trách', 'Hà', 'Tĩnh', 'xác', 'định', '5', 'người', 'tiếp', 'xúc', 'gần', 'với', '""', 'bệnh', 'nhân', '736', '""', ',', 'đều', 'là', 'cán', 'bộ', 'Ban', 'quản', 'lý', 'Khu', 'di', 'tích', 'lịch', 'ngã', 'ba', 'Đồng', 'Lộc', ',', 'họ', 'phụ', 'trách', 'việc', 'hướng', 'dẫn', 'đoàn', 'khách', 'tham', 'quan', ',', 'dâng', 'hương', '.']"
879,[],[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Ban', 'chỉ', 'đạo', 'phòng', 'chống', 'dịch', 'Covid', '-', '19', 'thành', 'phố', 'Đà', 'Nẵng']), (['B-DATE'], ['B-DATE'], ['10/8']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['826']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đà', 'Nẵng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Quảng', 'Nam'])]","['Trong', 'hành', 'trình', 'di', 'chuyển', 'của', 'ca', 'mắc', 'Covid', '-', '19', 'được', 'Ban', 'chỉ', 'đạo', 'phòng', 'chống', 'dịch', 'Covid', '-', '19', 'thành', 'phố', 'Đà', 'Nẵng', 'công', 'bố', 'tối', '10/8', ',', 'nam', '""', 'bệnh', 'nhân', '826', '""', 'di', 'chuyển', 'qua', 'nhiều', 'địa', 'bàn', 'từ', 'Đà', 'Nẵng', 'đến', 'Quảng', 'Nam', '.']"
880,[],[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bệnh', 'viện', 'chuyên', 'khoa', 'Lao', 'và', 'bệnh', 'Phổi', 'Quảng', 'Trị'])]","['Bệnh', 'viện', 'chuyên', 'khoa', 'Lao', 'và', 'bệnh', 'Phổi', 'Quảng', 'Trị', ',', 'nơi', 'đang', 'điều', 'trị', 'cho', 'các', 'bệnh', 'nhân', 'nhiễm', 'nCoV', 'ở', 'tỉnh', 'này', '.']"
881,[],[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['22', '-', '7']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['23', '-', '7']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['khoa', 'Nội', 'thận', '-', 'Tiết', 'niệu', ',', 'BV', 'Đà', 'Nẵng']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['24', '-', '7']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['bệnh', 'viện', 'Đà', 'Nẵng']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['25', '-', '7'])]","['từ', '22', '-', '7', 'đến', '23', '-', '7', 'BN', 'chuyển', 'lên', 'khoa', 'Nội', 'thận', '-', 'Tiết', 'niệu', ',', 'BV', 'Đà', 'Nẵng', ',', 'sau', 'đó', 'về', 'nhà', ',', '24', '-', '7', 'ra', 'lại', 'bệnh', 'viện', 'Đà', 'Nẵng', ',', '25', '-', '7', 'về', 'lại', 'nhà', '.']"
882,[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Tỉnh', 'đoàn', 'Quảng', 'Nam'])]",[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['16', '-', '8']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Sở', 'Y', 'tế', 'Quảng', 'Nam'])]","['Sáng', '16', '-', '8', ',', 'tại', 'Sở', 'Y', 'tế', 'Quảng', 'Nam', ',', 'gần', '300', 'cán', 'bộ', 'thuộc', 'sở', 'này', ',', 'Trung', 'tâm', 'Kiểm', 'soát', 'bệnh', 'tật', 'tỉnh', ',', 'Tỉnh', 'đoàn', 'Quảng', 'Nam', 'và', 'Hội', 'liên', 'hiệp', 'phụ', 'nữ', 'tỉnh', 'đã', 'được', 'nhân', 'viên', 'y', 'tế', 'lấy', 'mẫu', 'xét', 'nghiệm', 'COVID', '-', '19', '.']"
883,"[(['B-PATIENT_ID'], ['O'], ['716'])]",[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['13', '-', '8']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['bệnh', 'viện', 'đa', 'khoa', 'Trung', 'ương', 'Quảng', 'Nam']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['719'])]","['Sáng', '13', '-', '8', ',', 'bệnh', 'viện', 'đa', 'khoa', 'Trung', 'ương', 'Quảng', 'Nam', 'đã', 'tổ', 'chức', 'công', 'bố', 'khỏi', 'bệnh', 'và', 'xuất', 'viện', 'đối', 'với', 'bệnh', 'nhân', '(', 'BN', ')', '716', 'và', '719', '.']"
884,"[(['B-LOCATION', 'I-LOCATION'], ['O', 'O'], ['Thanh', 'Hà'])]",[],[],[],[],"[(['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hải', 'Dương']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Nhà', 'hàng', 'Thế', 'giới', 'bò', 'tươi'])]","['Đến', 'chiều', ',', 'anh', 'bắt', 'xe', 'buýt', 'tuyến', '02', 'Thanh', 'Hà', '-', 'Hải', 'Dương', 'lên', 'Nhà', 'hàng', 'Thế', 'giới', 'bò', 'tươi', 'làm', 'việc', '.']"
885,"[(['B-JOB', 'I-JOB'], ['O', 'O'], ['phóng', 'viên']), (['B-JOB', 'I-JOB'], ['O', 'O'], ['nhà', 'báo'])]",[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Thông', 'tấn', 'xã', 'Việt', 'Nam'])]","[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['29', '-', '3']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bộ', 'Y', 'tế']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-NAME'], ['B-NAME'], ['T.H.'])]","['Hôm', 'nay', '(', '29', '-', '3', ')', ',', 'Bộ', 'Y', 'tế', 'công', 'bố', '14', 'ca', 'bệnh', 'COVID', '-', '19', 'mới', ',', 'trong', 'số', 'này', 'có', 'nữ', 'phóng', 'viên', 'T.H.', ',', 'nhà', 'báo', 'thuộc', 'Thông', 'tấn', 'xã', 'Việt', 'Nam', '.']"
