Row,No Extraction,Wrong Tag,Wrong Range,Wrong Range and tag,Num correct tags,Sentence
157,[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-LOCATION'], ['tổ', 'công_tác', 'phòng', ',', 'chống', 'Covid', '-', '19', 'xã', 'Thạch_Đài'])]",[],[],"[(['B-DATE'], ['B-DATE'], ['6/8']), (['B-NAME'], ['B-NAME'], ['Khánh']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['thôn', 'Kỳ_Phong'])]","['Khoảng', '8h30', 'ngày', '6/8', ',', 'tổ', 'công_tác', 'phòng', ',', 'chống', 'Covid', '-', '19', 'xã', 'Thạch_Đài', 'đi', 'kiểm_tra', ',', 'đến', 'nhà', 'Khánh', 'ở', 'thôn', 'Kỳ_Phong', 'song', 'nam_sinh', 'không', 'ở', 'nhà', '.']"
158,[],[],[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['ho', 'dữ_dội']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['có', 'đờm', 'đỏ'])]","['Hai', 'ngày', 'sau', ',', 'anh', 'bắt_đầu', 'ho', 'dữ_dội', ',', 'có', 'đờm', 'đỏ', '.']"
159,[],[],[],[],"[(['B-NAME'], ['B-NAME'], ['N.Q.T.']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['21']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['đường', 'Nguyễn_Khắc_Nhu']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['phường', 'Trúc_Bạch']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['quận', 'Ba_Đình']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['UBND', 'TP', 'Hà_Nội']), (['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['VN', '0054']), (['B-NAME'], ['B-NAME'], ['N.H.N.'])]","['Với', 'bệnh_nhân', 'N.Q.T.', '(', 'bệnh_nhân', 'số', '21', ',', 'ngụ', 'đường', 'Nguyễn_Khắc_Nhu', ',', 'phường', 'Trúc_Bạch', ',', 'quận', 'Ba_Đình', ')', ',', 'Chủ_tịch', 'UBND', 'TP', 'Hà_Nội', 'cho', 'biết', 'ông', 'này', 'đi', 'cùng', 'chuyến', 'bay', 'VN', '0054', ',', 'ngồi', 'ghế', '5A', ',', 'tức_là', 'ngồi', 'cạnh', 'bệnh_nhân', 'N.H.N.']"
160,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'O'], ['mô', 'tạng', 'kẽ'])]",[],[],[],[],"['X', '-', 'quang', 'phổi', 'lúc', 'nhập_viện', 'có', 'tổn_thương', 'như', 'mô', 'tạng', 'kẽ', 'và', 'được', 'lấy', 'mẫu', 'xét_nghiệm', '.']"
161,[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['thận', 'mạn', 'giai_đoạn', 'cuối'])]",[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['23', '-', '6']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['khó', 'thở']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['tăng', 'huyết_áp']), (['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['gout']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['rung', 'nhĩ']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['suy', 'tim']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['phù', 'phổi', 'cấp'])]","['Ngày', '23', '-', '6', ',', 'bệnh_nhân', 'khó', 'thở', 'được', 'chuyển', 'vào', 'viện', 'khoa_nội', '-', 'tiết_niệu', 'với', 'chẩn_đoán', 'suy', 'bệnh', 'thận', 'mạn', 'giai_đoạn', 'cuối', ',', 'chạy', 'thận', 'nhân_tạo', 'chu_kỳ', '7', 'năm', ',', 'tăng', 'huyết_áp', ',', 'gout', ',', 'rung', 'nhĩ', ',', 'suy', 'tim', ',', 'phù', 'phổi', 'cấp', '.']"
162,[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['7', '-', '4']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bệnh_viện', 'Bệnh', 'nhiệt_đới', 'trung_ương']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['200']), (['B-JOB', 'I-JOB'], ['B-JOB', 'I-JOB'], ['nhân_viên', 'vệ_sinh']), (['B-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION'], ['Công_ty', 'Trường_Sinh']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'Bạch_Mai'])]","['Ngày', '7', '-', '4', ',', 'Bệnh_viện', 'Bệnh', 'nhiệt_đới', 'trung_ương', 'đã', 'công_bố', 'có', 'thêm', '11', 'bệnh_nhân', 'COVID', '-', '19', 'ra', 'viện', ',', 'trong', 'số', 'này', 'có', 'bệnh_nhân', '200', 'là', 'nhân_viên', 'vệ_sinh', 'của', 'Công_ty', 'Trường_Sinh', ',', 'đơn_vị', 'cung_cấp', 'suất', 'ăn', 'tại', 'Bệnh_viện', 'Bạch_Mai', '-', 'ổ', 'dịch', 'lớn', 'thời_gian', 'qua', '.']"
163,[],[],[],[],"[(['B-DATE'], ['B-DATE'], ['28/7']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['557']), (['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['sốt']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'Gia_đình'])]","['Ngày', '28/7', ',', '""', 'bệnh_nhân', '557', '""', 'bị', 'sốt', 'nên', 'cô', 'xin', 'nghỉ', 'làm', 'để', 'đưa', 'con', 'đi', 'xét_nghiệm', 'ở', 'Bệnh_viện', 'Gia_đình', '.']"
164,[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['12', '-', '7']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'đa_khoa', 'tỉnh', 'Cà_Mau'])]","['Ngày', '12', '-', '7', 'bệnh_nhân', 'được', 'lấy', 'mẫu', 'xét_nghiệm', 'và', 'kết_quả', 'dương_tính', 'với', 'COVID', '-', '19', ',', 'hiện', 'bệnh_nhân', 'đang', 'được', 'cách_ly', ',', 'điều_trị', 'tại', 'Bệnh_viện', 'đa_khoa', 'tỉnh', 'Cà_Mau', '.']"
165,[],[],[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['đái_tháo_đường', 'tuýp', '1']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['suy', 'thận']), (['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['suy_kiệt']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['tỉnh', 'Quảng_Trị'])]","['Bệnh_nhân', 'có', 'bệnh', 'nền', 'đái_tháo_đường', 'tuýp', '1', ',', 'suy', 'thận', ',', 'suy_kiệt', ',', 'vượt', 'quá', 'khả_năng', 'điều_trị', 'của', 'y_tế', 'tỉnh', 'Quảng_Trị', '.']"
166,[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['371']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['36']), (['B-LOCATION'], ['B-LOCATION'], ['Nam_Sách']), (['B-LOCATION'], ['B-LOCATION'], ['Hải_Dương'])]","['Theo', 'đó', ',', 'bệnh_nhân', '371', 'là', 'nữ', ',', '36', 'tuổi', ',', 'ở', 'Nam_Sách', ',', 'Hải_Dương', '.']"
167,[],[],[],[],"[(['B-DATE'], ['B-DATE'], ['25/8']), (['B-LOCATION'], ['B-LOCATION'], ['Tây_Ninh']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Trường', 'trung_cấp', 'kinh_tế', 'kỹ_thuật', 'tỉnh', 'Tây_Ninh'])]","['Ngày', '25/8', ',', 'cô', 'nhập_cảnh', 'về', 'Tây_Ninh', ',', 'được', 'cách_ly', 'tập_trung', 'tại', 'Trường', 'trung_cấp', 'kinh_tế', 'kỹ_thuật', 'tỉnh', 'Tây_Ninh', '.']"
168,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Công_an', 'quận', 'Sơn_Trà']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['TP', 'Đà_Nẵng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Bệnh_viện', '199'])]","['Cụ_thể', ',', 'nữ', 'bệnh_nhân', 'trên', 'đã', 'được', 'Công_an', 'quận', 'Sơn_Trà', ',', 'TP', 'Đà_Nẵng', 'tìm', 'thấy', 'ở', 'khách_sạn', 'và', 'đã', 'đưa', 'trở_lại', 'Bệnh_viện', '199', '.']"
169,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['khoa', 'Hồi_sức', 'tích_cực', ',', 'Bệnh_viện', 'Bệnh', 'nhiệt_đới', 'Trung_ương']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['1045']), (['B-DATE'], ['B-DATE'], ['9/9']), (['B-DATE'], ['B-DATE'], ['14/9'])]","['Bác_sĩ', 'Phạm_Văn_Phúc', ',', 'khoa', 'Hồi_sức', 'tích_cực', ',', 'Bệnh_viện', 'Bệnh', 'nhiệt_đới', 'Trung_ương', ',', 'cho', 'biết', '""', 'bệnh_nhân', '1045', '""', 'được', 'rút', 'ống', 'nội', 'khí_quản', ',', 'bỏ', 'thở', 'máy', 'từ', 'ngày', '9/9', ',', 'tới', '14/9', 'cai', 'thở', 'oxy', '.']"
170,[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['trường', 'quân_sự', 'địa_phương', '-', 'TP.', 'Cần_Thơ'])]","['Khi', 'nhập_cảnh', ',', 'bệnh_nhân', 'chưa', 'có', 'dấu_hiệu', 'triệu_chứng', 'bệnh', 'và', 'được', 'chuyển', 'đến', 'khu', 'cách_ly', 'tập_trung', 'tại', 'trường', 'quân_sự', 'địa_phương', '-', 'TP.', 'Cần_Thơ', '.']"
171,[],[],[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['viêm', 'cơ', 'tim', 'cấp']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['hội_chứng', 'suy', 'hô_hấp', 'tiến_triển']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['suy', 'đa', 'phủ_tạng'])]","['Kết_quả', 'khám', ',', 'chẩn_đoán', 'bệnh_nhân', 'bị', 'viêm', 'cơ', 'tim', 'cấp', ',', 'hội_chứng', 'suy', 'hô_hấp', 'tiến_triển', ',', 'suy', 'đa', 'phủ_tạng', '.']"
172,[],[],"[(['B-PATIENT_ID', 'I-PATIENT_ID'], ['O', 'B-PATIENT_ID'], ['BN', '456'])]",[],"[(['B-DATE'], ['B-DATE'], ['16']), (['B-DATE'], ['B-DATE'], ['20/7']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['thôn', 'Lệ_Sơn_Nam']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['xã', 'Hoà_Tiến']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['huyện', 'Hoà_Vang']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['TP', 'Đà_Nẵng'])]","['Theo', 'điều_tra', 'dịch_tễ', ',', 'từ', 'ngày', '16', '-', '20/7', ',', 'bệnh_nhân', 'cùng', 'chồng', 'ra', 'thôn', 'Lệ_Sơn_Nam', ',', 'xã', 'Hoà_Tiến', ',', 'huyện', 'Hoà_Vang', ',', 'TP', 'Đà_Nẵng', 'dự', 'đám_tang', 'và', 'tiếp_xúc', 'BN', '456', '.']"
173,[],[],[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['sốt', 'cao', 'khoảng', '40', 'độ', 'C']), (['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['ho']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['đau_nhức', 'mình']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['khó', 'thở'])]","['Triệu_chứng', 'chung', 'của', 'những', 'bệnh_nhân', 'này', 'là', 'sốt', 'cao', 'khoảng', '40', 'độ', 'C', ',', 'ho', ',', 'đau_nhức', 'mình', ',', 'khó', 'thở', '.']"
174,[],[],[],[],"[(['B-LOCATION'], ['B-LOCATION'], ['Daegu']), (['B-LOCATION'], ['B-LOCATION'], ['Hàn_Quốc']), (['B-LOCATION'], ['B-LOCATION'], ['Busan']), (['B-LOCATION'], ['B-LOCATION'], ['TP.HCM.'])]","['Cô', 'sống', 'tại', 'Daegu', 'nhưng', 'đã', 'qua', 'thành_phố', 'lớn', 'thứ', 'hai', 'của', 'Hàn_Quốc', 'là', 'Busan', 'để', 'đáp', 'máy_bay', 'đi', 'TP.HCM.']"
175,[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['26', '-', '7']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phòng', 'tiểu_phẫu', 'khoa', 'cấp_cứu', 'Bệnh_viện', 'Đa_khoa', 'Hội_An'])]","['Ngày', '26', '-', '7', ',', 'bệnh_nhân', 'đưa', 'vợ', 'đến', 'phòng', 'tiểu_phẫu', 'khoa', 'cấp_cứu', 'Bệnh_viện', 'Đa_khoa', 'Hội_An', ',', 'có', 'tiếp_xúc', 'với', 'nhân_viên', 'y_tế', '.']"
176,"[(['B-ORGANIZATION', 'I-ORGANIZATION'], ['O', 'O'], ['Sở', 'Y_tế'])]",[],[],[],"[(['B-LOCATION'], ['B-LOCATION'], ['Quảng_Ninh']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['416']), (['B-LOCATION'], ['B-LOCATION'], ['Quảng_Ninh']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'cách_ly', 'đặc_biệt', 'số', '2']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'Lao_phổi', 'tỉnh', 'Quảng_Ninh'])]","['Tại', 'Quảng_Ninh', ',', 'ông', 'Nguyễn_Trọng_Diện', '-', 'Giám_đốc', 'Sở', 'Y_tế', ',', 'cho', 'biết', '2', 'trường_hợp', 'có', 'yếu_tố', 'dịch_tễ', 'liên_quan', 'bệnh_nhân', 'số', '416', '(', 'F', '1', ')', 'tại', 'Quảng_Ninh', 'đã', 'được', 'đưa', 'vào', 'cách_ly', 'tại', 'Bệnh_viện', 'cách_ly', 'đặc_biệt', 'số', '2', '(', 'Bệnh_viện', 'Lao_phổi', 'tỉnh', 'Quảng_Ninh', ')', 'và', 'lấy', 'mẫu', 'xét_nghiệm', '.', 'Kết_quả', 'ban_đầu', '2', 'trường_hợp', 'này', 'âm_tính', 'với', 'virus', 'SARS', '-', 'CoV', '-', '2', '.']"
177,[],[],[],[],"[(['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['thành_phố', 'Thường_Đức']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['tỉnh', 'Hồ', 'Nam']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['9', '-', '2'])]","['Còn', 'tại', 'thành_phố', 'Thường_Đức', ',', 'tỉnh', 'Hồ', 'Nam', ',', 'một', 'phụ_nữ', 'có', 'kết_quả', 'dương_tính', 'ngày', '9', '-', '2', ',', 'tức', '5', 'ngày', 'sau', 'khi', 'hết', 'thời_hạn', 'cách_ly', 'tại', 'một', 'bệnh_viện', 'địa_phương', '.']"
178,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung_tâm', 'Kiểm_soát', 'bệnh_tật', 'Đăk_Lăk']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['VN1915']), (['B-DATE'], ['B-DATE'], ['25/7'])]","['Kết_quả', 'xét_nghiệm', 'của', 'Trung_tâm', 'Kiểm_soát', 'bệnh_tật', 'Đăk_Lăk', ',', 'nữ', 'hành_khách', '41', 'tuổi', 'đi', 'chuyến', 'bay', 'VN1915', 'lúc', '9h', 'ngày', '25/7', ',', 'ghế', '20D', 'dương_tính', 'lần', 'một', '.']"
179,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung_tâm', 'Kiểm_soát', 'Bệnh_tật', 'tỉnh', 'Lai_Châu'])]","['Hôm', 'sau', 'bà', 'được', 'Trung_tâm', 'Kiểm_soát', 'Bệnh_tật', 'tỉnh', 'Lai_Châu', 'lấy', 'mẫu', 'làm', 'xét_nghiệm', '.']"
180,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Sở', 'Y_tế', 'Đà_Nẵng']), (['B-DATE'], ['B-DATE'], ['4/3']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['22']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['23']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['siêu_thị', 'điện_máy', 'Xanh']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['7', 'Nguyễn_Văn_Linh'])]","['Theo', 'bác_sĩ', 'Nguyễn_Tiên_Hồng', '-', 'Phó', 'giám_đốc', 'Sở', 'Y_tế', 'Đà_Nẵng', ',', 'cuối', 'giờ', 'chiều', 'ngày', '4/3', ',', 'hai', 'du_khách', 'Anh', '(', '""', 'bệnh_nhân', '22', '""', 'và', '""', 'bệnh_nhân', '23', '""', ')', 'ghé', 'siêu_thị', 'điện_máy', 'Xanh', 'ở', 'số', '7', 'Nguyễn_Văn_Linh', 'để', 'mua', 'sim', 'điện_thoại', '.']"
181,[],[],[],[],"[(['B-LOCATION'], ['B-LOCATION'], ['Hải_Dương']), (['B-NAME'], ['B-NAME'], ['Đ.Q.M.']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['17']), (['B-NAME'], ['B-NAME'], ['N.T.C']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['72']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['thôn', 'Nhân_Lư']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['xã', 'Cẩm_Chế']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['huyện', 'Thanh_Hà']), (['B-NAME'], ['B-NAME'], ['V.T.L.']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['59'])]","['Theo', 'đó', ',', '3', 'bệnh_nhân', 'COVID', '-', '19', 'mới', 'của', 'Hải_Dương', 'bao_gồm', 'Đ.Q.M.', '(', 'nam', ',', '17', 'tuổi', ')', 'và', 'N.T.C', '(', 'nữ', ',', '72', 'tuổi', ',', 'cùng', 'trú', 'tại', 'thôn', 'Nhân_Lư', ',', 'xã', 'Cẩm_Chế', ',', 'huyện', 'Thanh_Hà', ')', 'và', 'V.T.L.', '(', 'nữ', ',', '59', 'tuổi', ')', '.']"
182,[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Khoa_Bệnh', 'nhiệt_đới', ',', 'Bệnh_viện', 'E'])]","['Tại', 'đây', ',', 'chụp', 'X', '-', 'quang', 'phổi', 'thấy', 'có', 'hình_ảnh', 'viêm', 'phổi', ',', 'bệnh_nhân', 'được', 'chuyển', 'đến', 'Khoa_Bệnh', 'nhiệt_đới', ',', 'Bệnh_viện', 'E', ',', 'điều_trị', '.']"
183,[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['O', 'B-LOCATION', 'I-LOCATION'], ['Công_an', 'phường', 'Mễ_Trì'])]","[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['ngõ', '230', 'Mễ_Trì_Thượng']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['447'])]","['Công_an', 'phường', 'Mễ_Trì', 'dựng', 'rào_chắn', 'ở', 'một', 'đoạn', 'ngõ', '230', 'Mễ_Trì_Thượng', ',', 'nơi', 'ở', 'của', 'bệnh_nhân', '447', '.']"
184,[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['168']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['169']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['49']), (['B-JOB', 'I-JOB', 'I-JOB', 'I-JOB'], ['B-JOB', 'I-JOB', 'I-JOB', 'I-JOB'], ['nhân_viên', 'cung_cấp', 'nước', 'sôi']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'Bạch_Mai'])]","['Bệnh_nhân', '168', 'và', 'bệnh_nhân', '169', 'đều', 'là', 'nữ', ',', '49', 'tuổi', ',', 'là', 'nhân_viên', 'cung_cấp', 'nước', 'sôi', 'của', 'Bệnh_viện', 'Bạch_Mai', '.']"
